"ID","Nombre VM","Estado","Estatus","CPU CORES","vCPUs","CPU Asignado Mhz","CPU Uso Mhz","MEM Asignada(GB)","MEM Uso (GB)","Disco Asignado (GB)","Disco Uso (GB)","Disco Read Latency","Disco Write Latency","Disco Read IOPS","Disco Write IOPS","Sistema Op.","IP address","Host","Path"
"b587331e-44e3-5d13-ad36-f0bf305aa444","ELVISFS01","POWERED_ON","OK","4","16","0","63","16","1.759765625","60144","58718.900645855814","0","0","0","0","Red Hat Enterprise Linux 6 (64-bit)","10.10.29.51","esxi-surco-01.comercio.local","[DS-SYNC-002] ELVISFS01/ELVISFS01.vmx"
"0e7c5b16-f979-5bed-a170-6eefcf073d0c","LCECW10QA05","POWERED_OFF","OK","8","16","0","0","64","0","150","210.00833543390036","0","0","0","0","Microsoft Windows 10 (64-bit)","fe80::3c1b:b4c0:ea6a:fde9","esxi-lurin-02.comercio.local","[DS-PAN-LC-001] LCECW10QA05/LCECW10QA05.vmtx"
"248331d5-f396-547a-9041-9e86e8e7f1d8","COMERCIO_ERPPRD01_RESTORE","POWERED_ON","OK","8","16","0","0","48","0","8415.199999809265","8463.273784496821","0","0","0","0","Red Hat Enterprise Linux 7 (64-bit)","10.10.35.90","esxi-lurin-01.comercio.local","[DS-VIC-LC-005] ERPPRD01/COMERCIO_ERPPRD01_RESTORE.vmx"
"a42769bd-18aa-55bc-a509-e983d60fd17f","PANGANA03","POWERED_ON","OK","16","128","0","0","16","0","120","63.72622854448855","0","0","0","239","CentOS 4/5/6 (64-bit)","10.10.30.116","esxi-lurin-02.comercio.local","[DS-PAN-LC-003] PANGANA03/PANGANA03.vmx"
"5e549f7d-9e96-5eb5-8888-ee3f7ea065de","SERVDHCP","POWERED_OFF","OK","4","16","0","0","10","0","120","42.471598541364074","0","0","0","0","Microsoft Windows Server 2012 (64-bit)","10.10.35.39","esxi-surco-01.comercio.local","[DS-SYNC-001] SERVDHCP/SERVDHCP.vmtx"
"df5a4d2a-83b7-5eff-a8e6-6862c19a2869","SERVDHCP1","POWERED_OFF","OK","4","8","0","0","16","0","120","50.19796986505389","0","0","0","0","Microsoft Windows Server 2012 (64-bit)","192.168.62.136","esxi-surco-01.comercio.local","[DS-SYNC-001] SERVDHCP1/SERVDHCP1.vmtx"
"201ac4c7-9679-56fe-b8f7-5808d0c5aee9","SERVL009-R18","POWERED_OFF","OK","4","16","0","0","4","0","240","211.92196607217193","0","0","0","0","Microsoft Windows Server 2003 Standard (32-bit)","","esxi-lurin-02.comercio.local","[DS-SYNC-001] SERVL009-R18/SERVL009-R18.vmtx"
"f67d0fa1-8b82-501a-ad05-221f284aacda","PANGANA02","POWERED_ON","OK","16","128","0","0","8","0","80","60.352208505384624","0","0","0","380","CentOS 4/5/6 (64-bit)","10.10.30.113","esxi-lurin-02.comercio.local","[DS-PAN-LC-003] PANGANA02/PANGANA02.vmx"
"abcf019e-1b0c-5bed-81b7-2a40bb5a7251","LIMGANA02","POWERED_ON","OK","16","128","0","0","8","0","80","54.9295492162928","0","0","0","381","CentOS 4/5/6 (64-bit)","10.10.30.112","esxi-surco-02.comercio.local","[DS-VIC-LC-001] LIMGANA02/LIMGANA02.vmx"
"550e4570-d544-57dd-8da3-c5a39571eb5b","LIMGANA01","POWERED_ON","OK","8","32","0","0","8","0","80","77.64209542889148","0","0","0","208","CentOS 4/5/6 (64-bit)","10.10.30.110","esxi-surco-02.comercio.local","[DS-VIC-LC-001] LIMGANA01/LIMGANA01.vmx"
"2324f0a5-5339-5d68-b544-af55373cab72","PAECGANA01","POWERED_OFF","OK","8","8","0","0","16","0","120","21.116852306760848","0","0","0","0","Red Hat Enterprise Linux 7 (64-bit)","10.10.30.123","esxi-lurin-01.comercio.local","[DS-PAN-LC-002] PAECGANA01/PAECGANA01.vmx"
"a33ca292-6c43-53eb-bbff-dcf386d2cd6d","PAECGANA03","POWERED_OFF","OK","16","16","0","0","16","0","150","30.139734046533704","0","0","0","0","Red Hat Enterprise Linux 7 (64-bit)","10.10.30.125","esxi-lurin-01.comercio.local","[DS-PAN-LC-001] PAECGANA03/PAECGANA03.vmx"
"fc04d9f9-6c1a-5da1-9a80-b1c617cdff64","PAECGANA02","POWERED_OFF","OK","16","16","0","0","16","0","120","20.760632854886353","0","0","0","0","Red Hat Enterprise Linux 7 (64-bit)","10.10.30.124","esxi-lurin-01.comercio.local","[DS-PAN-LC-003] PAECGANA02/PAECGANA02.vmx"
"27711ae7-3cfd-5837-b550-1095c8516c76","LCECGANA02","POWERED_OFF","OK","16","16","0","0","16","0","120","34.79413452371955","0","0","0","0","Red Hat Enterprise Linux 7 (64-bit)","10.10.30.121","esxi-surco-03.comercio.local","[DS-VIC-LC-001] LCECGANA02/LCECGANA02.vmx"
"6ee6938c-bff1-536e-8a08-9bdb20e5031a","LCECGANA01","POWERED_OFF","OK","8","8","0","0","16","0","120","21.86036990955472","0","0","0","0","Red Hat Enterprise Linux 7 (64-bit)","10.10.30.120","esxi-surco-03.comercio.local","[DS-VIC-LC-001] LCECGANA01/LCECGANA01.vmx"
"df7b9a2e-913b-5408-bd01-b6b163d2d3b7","LCECGANA03","POWERED_OFF","OK","16","16","0","0","16","0","150","17.30398307926953","0","0","0","0","Red Hat Enterprise Linux 7 (64-bit)","10.10.30.122","esxi-surco-03.comercio.local","[DS-VIC-LC-001] LCECGANA03/LCECGANA03.vmx"
"7a3eec57-9bb9-5cbf-af18-36519390016e","PANGANA01","POWERED_ON","OK","8","32","0","0","8","0","80","76.58182945009321","0","0","0","398","CentOS 4/5/6 (64-bit)","10.10.30.111","esxi-lurin-01.comercio.local","[DS-PAN-LC-002] PANGANA01/PANGANA01.vmx"
"e4d90003-d8c7-5911-ac83-9b0df008a131","LCECAADCONNECT","POWERED_OFF","OK","2","2","0","0","16","0","100","56.71472880244255","0","0","0","0","Microsoft Windows Server 2016 (64-bit)","10.10.35.125","esxi-surco-01.comercio.local","[DS-SYNC-001] LCECAADCONNECT/LCECAADCONNECT.vmtx"
"cc8b4e8b-1744-5978-bdfd-fe1b1dc1a46d","PAECPRESAPCC","POWERED_ON","OK","4","4","0","0","16","0","100","39.94385017082095","0","0","0","288","Microsoft Windows Server 2016 (64-bit)","10.10.28.70","esxi-lurin-01.comercio.local","[DS-PAN-LC-001] PAECPRESAPCC/PAECPRESAPCC.vmx"
"ad0225ba-56cc-5d6f-805f-4efb3e589b76","LCECMESG","POWERED_ON","OK","2","2","0","105","16","0.3193359375","150","46.91694368235767","1","0","2","599","Microsoft Windows Server 2016 (64-bit)","10.10.28.125","esxi-surco-03.comercio.local","[DS-VIC-LC-001] LCECMESG/LCECMESG.vmx"
