

===================================
AI Trader Integrated V2.11
Market Scan: 2026-09-25 01:17:17.853013
Run ID: MAIN_20260925_011717
===================================
[PERF-TRACKER] V1.4 cache strategy | persistent_broad_request=5y | auto_adjust=False | miss_acquisition=MarketDataV2-multi
[MARKET_DATA] CACHE HIT | ticker=ERAS | period=5y | interval=1d | auto_adjust=False | cache=market_195c9e16039d25e92b1373f3ba4dcdc8a772fb3837f78248b4c176fa187fc092.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=ERAS | cache=AVAILABLE | broad=5y | rows=1253 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=FAMI | period=5y | interval=1d | auto_adjust=False | cache=market_8b4e4493d6a697f95c42d23787cd871a2ca0c8d30924a3d039716ed67ae77217.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=FAMI | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=FANG | period=5y | interval=1d | auto_adjust=False | cache=market_d827c424003921e93605a0a6382b2ed61ae6b5f5d92f355bb0bc4ea1acfe84ab.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=FANG | cache=AVAILABLE | broad=5y | rows=1253 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=FNGR | period=5y | interval=1d | auto_adjust=False | cache=market_513da1f0e07a3d79b312f176dee0131a13449e5afc8e35946d7b5d2e6257aefa.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=FNGR | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=GDXU | period=5y | interval=1d | auto_adjust=False | cache=market_79371db348c94bb38ac5a06fdaa600f135712ef72175850de480d3b8f89f2d58.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=GDXU | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=GEV | period=5y | interval=1d | auto_adjust=False | cache=market_a97fad506a96e11b9d455bfb35b74276b1738ed49903b19c98b9b032c3c323fb.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=GEV | cache=AVAILABLE | broad=5y | rows=625 | elapsed=0.04s
[MARKET_DATA] CACHE HIT | ticker=GNS | period=5y | interval=1d | auto_adjust=False | cache=market_151a3c2642c0ce3d5bdebfdca95f089e910f1f2d5adad1cb053ecf1a300a5c6c.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=GNS | cache=AVAILABLE | broad=5y | rows=1117 | elapsed=0.05s
[MARKET_DATA] CACHE HIT | ticker=GOOG | period=5y | interval=1d | auto_adjust=False | cache=market_aada6fa245bd8cd68d6a3c642a85099ad6f730d8682b4f15a20ca0c33e6dd991.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=GOOG | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=GOOGL | period=5y | interval=1d | auto_adjust=False | cache=market_11328b4f3eb4442fec24c671404a94ab3c8885c21e0671ebe5e6f7649b1300d3.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=GOOGL | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=GS | period=5y | interval=1d | auto_adjust=False | cache=market_d6cb7cb6b558933462d71efc8923f47694bb2b3ff8c38677ac1ba37ceb2302ce.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=GS | cache=AVAILABLE | broad=5y | rows=1253 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=HKPD | period=5y | interval=1d | auto_adjust=False | cache=market_576c7e35cd89d38d1d6844fe7ec56888b94990b511d3ba713f5e0241afae801a.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=HKPD | cache=AVAILABLE | broad=5y | rows=425 | elapsed=0.03s
[MARKET_DATA] CACHE HIT | ticker=HOOD | period=5y | interval=1d | auto_adjust=False | cache=market_8762e17a36066255538996a65cfa3bd74b3a69aa97b8598cd831ff4d1d22efd5.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=HOOD | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=IMMX | period=5y | interval=1d | auto_adjust=False | cache=market_527a08b42879e8675fb8ecc9ac5a945eac2b36452d2170c3bd042d08e3856f47.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=IMMX | cache=AVAILABLE | broad=5y | rows=1196 | elapsed=0.03s
[MARKET_DATA] CACHE HIT | ticker=INTC | period=5y | interval=1d | auto_adjust=False | cache=market_335ae67251a32cf435eb87713e0123491adf497ee31e70f1a05ea28cba3a46de.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=INTC | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=JPM | period=5y | interval=1d | auto_adjust=False | cache=market_94b11311fb9df7245f851bcce997e6e763adc4f4592ae72203fbf41e3b9eab5c.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=JPM | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=LITE | period=5y | interval=1d | auto_adjust=False | cache=market_d077f46b8372938127ae1b4971a4d12c6676e3476817a3a6c6428655cbb62248.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=LITE | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=MA | period=5y | interval=1d | auto_adjust=False | cache=market_529713e11734aeda47b0400adefe4bd110418b07270bc2f15b65e4fe3e13a536.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=MA | cache=AVAILABLE | broad=5y | rows=1253 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=MBX | period=5y | interval=1d | auto_adjust=False | cache=market_6c52b297b2ef9d56ee74a017bb011357d3be7d20b0ea86be5964bfff99b26690.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=MBX | cache=AVAILABLE | broad=5y | rows=508 | elapsed=0.03s
[MARKET_DATA] CACHE HIT | ticker=META | period=5y | interval=1d | auto_adjust=False | cache=market_b7f4c3f184ac95a7d315a055b2657823aea0fcddc706adb120c62c1ac466c8f6.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=META | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=MGN | period=5y | interval=1d | auto_adjust=False | cache=market_f77396a38cf87bc44592610332584ea015f9e905c8a8f37abce9198f8a6503e7.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=MGN | cache=AVAILABLE | broad=5y | rows=250 | elapsed=0.03s
[MARKET_DATA] CACHE HIT | ticker=MGRT | period=5y | interval=1d | auto_adjust=False | cache=market_72cbc47f7af35d928ccf42f347e721481d373b17d067b2f2ee2978afaf27785b.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=MGRT | cache=AVAILABLE | broad=5y | rows=300 | elapsed=0.03s
[MARKET_DATA] CACHE HIT | ticker=MRNA | period=5y | interval=1d | auto_adjust=False | cache=market_10ff1ead663ef16bdfd45f7340e06e69cd9d570afbae8498d4590ffecf38b30d.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=MRNA | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=MRVL | period=5y | interval=1d | auto_adjust=False | cache=market_22d780bbd4dd3ccffa119a80155e2ecee415de98a5cb95b9e4fc7121646e8e76.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=MRVL | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=MSFT | period=5y | interval=1d | auto_adjust=False | cache=market_1712b69933775e76faefb6ea54ded2202a6eefbbeb7884c35f636ad90babe95b.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=MSFT | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=MTC | period=5y | interval=1d | auto_adjust=False | cache=market_b8453c992b70f8399b14ca37b03cbd29353cd5cc6a0e2e0fbf3d519a5a1f21d0.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=MTC | cache=AVAILABLE | broad=5y | rows=1253 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=MU | period=5y | interval=1d | auto_adjust=False | cache=market_902aba1cd245aaeb311832f9e8b7394f17026b96c8a71cbce72c014a69d95924.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=MU | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=NBIS | period=5y | interval=1d | auto_adjust=False | cache=market_8b66242ad81d62335ef998b90de3b8ae5806042d611cc6f422878b48f185f084.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=NBIS | cache=AVAILABLE | broad=5y | rows=483 | elapsed=0.03s
[MARKET_DATA] CACHE HIT | ticker=NUAI | period=5y | interval=1d | auto_adjust=False | cache=market_a80cb52a5ac7844f7ebfec449c279730a4fb0b6a3437c87efee32cde78940c3f.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=NUAI | cache=AVAILABLE | broad=5y | rows=1183 | elapsed=0.06s
[MARKET_DATA] CACHE HIT | ticker=NVDA | period=5y | interval=1d | auto_adjust=False | cache=market_ab55e60e471ac86feff7f4e9a6c9b616f4edd21fab5bf567bb30f19c87481c03.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=NVDA | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=ORCL | period=5y | interval=1d | auto_adjust=False | cache=market_c79accfa86a007cb391d58d62cebaf4797deaa1b82d9a704c1946a88053f35bb.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=ORCL | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=ORKA | period=5y | interval=1d | auto_adjust=False | cache=market_22fde91800afd5082dd545285c3ec12887e60268100c7febd3d4504e27fbf25f.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=ORKA | cache=AVAILABLE | broad=5y | rows=1253 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=PASW | period=5y | interval=1d | auto_adjust=False | cache=market_2d409a61c29d6e632dddabe880d692fb482ec9d6608aae13b7650b1c30129a91.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=PASW | cache=AVAILABLE | broad=5y | rows=298 | elapsed=0.03s
[MARKET_DATA] CACHE HIT | ticker=PLTR | period=5y | interval=1d | auto_adjust=False | cache=market_be5fa33b77dda3b062698e3f827662137ecc96e145f393ad5b29bfae7a209831.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=PLTR | cache=AVAILABLE | broad=5y | rows=1254 | elapsed=0.00s
[MARKET_DATA] CACHE HIT | ticker=PLTU | period=5y | interval=1d | auto_adjust=False | cache=market_4133696dcc36cd3e05acdf69deea08bc270663b63ced75ddb76becc10600cfd3.pkl
[PERF-TRACKER] Market Data V1.4 | ticker=PLTU | cache=AVAILABLE | broad=5y | rows=446 | elapsed=0.00s
